model,RPM,impeller,flow,head,eff,bestFlow,bestHead,mfg
25GS50,3500,None,0,800,0,25,520,Goulds
,,,10,760,0.49,,,
,,,15,710,0.6,,,
,,,20,630,0.67,,,
,,,25,520,0.72,,,
,,,30,390,0.73,,,
,,,35,180,0.63,,,
,,,38,0,0,,,
