model,RPM,impeller,flow,head,eff,bestFlow,bestHead,mfg
85GS75,3500,None,40,425,0.45,80,305,Goulds
,,,50,405,0.5,,,
,,,60,375,0.6,,,
,,,70,345,0.63,,,
,,,80,305,0.65,,,
,,,90,270,0.63,,,
,,,100,220,0.58,,,
,,,120,150,0.38,,,
