model,RPM,impeller,flow,head,eff,bestFlow,bestHead,mfg
3642-1x1_25-3500,3500,3.1875,0,40,0,20,30,Goulds
,,,5,38,30,,,
,,,10,36,37,,,
,,,15,34,42,,,
,,,20,30,45,,,
,,,25,27,43,,,
,,,30,21,40,,,
