model,RPM,impeller,flow,head,eff,bestFlow,bestHead,mfg
75GS100CB,3500,None,40,525,0.45,75,395,Goulds
,,,50,495,0.55,,,
,,,60,450,0.62,,,
,,,70,410,0.65,,,
,,,80,360,0.6,,,
,,,90,300,0.55,,,
,,,100,240,0.48,,,
