model,RPM,impeller,flow,head,eff
CM10-2-A-S-G-V-AQQV,3500,None,0,156,0
,,,20,152,0.49
,,,30,147,0.6
,,,40,138,0.67
,,,50,126,0.72
,,,60,110,0.73
,,,65,100,0.63
,,,70,92,0.5
