model,RPM,impeller,flow,head,eff
35GS50,3500,None,10,650,0.4
,,,15,625,0.55
,,,20,600,0.62
,,,25,555,0.65
,,,30,505,0.7
,,,35,420,0.69
,,,40,330,0.61
,,,45,275,0.55
