model,RPM,impeller,flow,head,eff
75GS100CB,3500,None,40,525,0.45
,,,50,495,0.55
,,,60,450,0.65
,,,70,410,0.62
,,,80,360,0.6
,,,90,300,0.55
,,,100,240,0.48
