model,RPM,impeller,flow,head,eff
85S100-9,3500,None,20,480,0.35
,,,30,470,0.45
,,,40,460,0.57
,,,50,445,0.7
,,,60,425,0.72
,,,70,405,0.73
,,,80,375,0.74
,,,90,340,0.71
,,,100,295,0.68
,,,110,250,0.62
