model,RPM,impeller,flow,head,eff
85GS100,3500,None,40,555,0.44
,,,50,535,0.55
,,,60,485,0.6
,,,70,450,0.62
,,,80,390,0.65
,,,90,350,0.62
,,,100,285,0.58
